a,b,c,d,e,sse,sae,0.01,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.99
-41.15590437122529,29.177392816805792,4.170554002789,-0.19332980994606697,0.005966585872706709,104555166.38063438,36382.15868230898,2019,1994,2573,2407,2748,2937,2885,3046,1560,55,10
-89.05010241747738,-10.646308220671273,3.087197609925054,-0.3060196544560103,-0.013403891210860053,173010948.42221752,65461.62284658128,217,133,71,52,30,19,4,2,39,42,11
72.00954146567423,42.723829488711175,4.174135687127814,-1.1867347432901152,0.0273875575987228,633288245.9033183,82203.11473228711,690,618,786,860,1007,827,745,602,430,38,17
-68.98527965121053,-12.437894979231515,3.2054837315085347,-1.3351036139120165,-0.04508122697933459,1255362832.2083569,147801.39409552753,0,0,0,10,4,3,0,0,58,45,17
-32.787774260850796,-56.437510559820936,3.837855664448055,-0.09876323726597303,-0.10974298567405327,1395236710.0097756,140711.56916928416,323,541,675,627,654,717,918,1212,1198,37,11
-85.51319696829196,-41.71907832585766,-2.441935251534142,2.0554557999039593,-0.03498096235151049,1612400566.6494195,148678.25190475336,64,37,67,39,29,54,46,25,40,55,4
-18.42165455445928,-46.65317335489465,0.14096959063564451,0.0503776664719604,0.10728820144428308,1620419778.1991596,154786.99121626074,43,402,543,758,899,1131,2082,2965,2019,46,13
14.844380119749047,86.74515979318633,-3.6336465695266607,-1.0569316205601509,0.107733770407207,1785597229.8191087,139489.49280344072,423,664,967,920,1024,1104,1077,644,1329,50,11
-68.1336728019657,39.615173569367556,3.107485678560016,1.0704868781052088,0.09378514093481449,1822781884.5594249,155448.53985150188,9,36,63,136,137,151,157,112,361,47,5
-39.55061486161144,-47.57751458166888,0.6237059441249961,-1.6733100302721104,0.06088386376244337,1971862231.7590756,165328.1184262224,58,46,30,11,4,1,15,25,227,49,11
-68.51200321968292,72.36043416011736,-2.1389998865486772,2.3855736952616535,0.009260800086297927,2004803802.5601723,182759.62287141662,36,114,94,100,92,85,80,68,423,50,10
-66.37138483674651,-37.600652445718666,0.9762451985866614,1.9476194068365231,0.07707700410387286,2175473119.9008617,145442.76027927853,548,544,645,644,586,707,520,400,525,54,14
62.356088433606885,47.1423274512309,2.215478842517938,2.2166367227281727,0.014553130154583371,2598722540.2621746,220685.05841419098,0,1,0,0,0,0,0,0,5,44,8
44.46769258712206,-95.77113805702977,-3.2447057623008266,-1.9740653738653933,-0.09703440807448782,3107592260.7973185,166999.89424687132,373,414,333,294,229,176,61,22,0,0,9
-33.15027559422168,18.258323760049706,0.3999225996460787,0.6540232912778237,-0.15069843803154903,3273098182.522461,215769.3494570518,18,155,329,684,623,661,524,351,940,39,9
86.83671238875002,-87.65111082241697,2.681042101405642,2.697222804023811,-0.002507185641887233,3851381658.5507755,273426.99891042535,0,0,0,0,0,0,0,0,0,2,5
-13.35323428038069,66.11729753059919,0.033788728600257834,2.8621896788868,-0.06266270764864679,3958697884.608413,246159.41771095642,0,6,28,35,32,8,21,13,129,53,12
-54.4641399903056,-37.1746261777796,-2.4946533707900187,-1.9906279513573724,-0.11612673301569387,4241138921.906336,208173.96482335124,91,85,10,9,7,0,1,0,2,42,12
10.388107581384617,61.938105273514935,0.7338870353542459,-3.3789455055755466,0.02697902150659015,4991280302.244557,294969.442717422,85,11,5,14,8,7,0,0,16,50,12
-41.87239845685411,-81.36127665331455,-2.216511754131428,2.3598389808689655,0.1514185986708707,5033684058.128408,215289.70365637797,181,323,263,251,141,88,35,10,0,42,14
89.04811695148345,-7.020246126179373,0.35201089570307875,-2.784275223556861,-0.135735088625756,5266762454.762021,214484.38892868458,287,140,178,157,115,113,115,80,116,45,5
49.07817517413753,31.558652510823293,1.9300689552115058,-0.5625047682446214,0.18652525718692115,5311924634.953709,281985.15288669115,0,20,36,47,25,15,6,6,228,47,17
-19.332073442165495,-67.23902949947316,2.8414901152613012,-1.8022502013449468,0.15931115482878688,5469524548.342641,248350.13272999963,10,15,4,4,7,2,2,9,22,49,14
