a,b,c,d,e,sse,sae,2,4,8,16,32,64,128,250,500,1000
-3.098734645939624,29.670627788628472,4.860863853076539,-0.26749189088991354,0.004451366822065594,92601679.7705834,35182.5571676628,19,43,70,134,237,385,794,1422,2525,3504
-3.0082991682909865,58.60303869414986,-3.251402789823538,0.23274494987019612,0.04520537653212031,200974031.6468851,49031.90428969634,19,22,52,138,223,483,758,1345,2263,3483
2.893117704028839,27.47498445546998,1.3418342630074633,1.4089437773141222,-0.019879222540014396,895481439.7664853,124511.34827192294,16,39,78,118,240,394,638,958,1197,1232
2.8042270654677743,68.19030859312188,-2.874062495391284,1.3860648222285867,-0.05753225977128995,1443343629.9565415,122617.17298004437,13,26,52,69,169,220,272,249,163,89
-0.5250226384910492,69.80366120539001,0.9387380725966841,-0.4285691407374408,-0.1028757206833486,1476820419.2488484,142246.97694363192,30,25,42,105,138,182,215,210,96,11
-1.289511212438188,55.428478522950414,2.7609214549058887,1.5171694174571213,0.07055037028772482,1872847117.3212018,133383.14788964216,24,29,58,108,143,232,333,350,253,95
4.507571294942515,8.778984379670456,-0.12062469298138723,2.3586100558322265,0.04242322316752034,2671488002.630949,208872.8078838986,15,45,73,130,175,281,386,402,217,44
-3.6586369141257116,50.11738014080127,-3.8455190680344655,-2.651954908773486,0.012556152584927815,3093594547.626331,236587.11548870004,15,32,73,82,133,184,177,135,41,2
-1.0616823849924053,57.66079716723476,-3.3104587447559175,1.3956902950186354,-0.11957982465072536,3186380450.9588056,190781.7150397538,24,37,57,98,176,330,443,544,484,192
-4.472242914631815,71.74221426409062,-2.7131902130987697,2.592745142598721,0.05598786688682367,3187914810.8794947,226035.42635464648,21,24,44,74,109,120,116,37,4,0
0.7164598272455658,4.625899849557518,2.553653035001907,0.05403476839608423,-0.1744148634368612,3918648258.9880533,237639.0471318332,20,44,56,138,243,420,692,1013,1160,860
-1.7187753663011431,54.16881237043506,-2.7500575520048587,-2.496099183226217,0.11261036844133798,4273029588.794404,222059.76341576202,16,32,50,88,139,188,192,156,42,2
-1.2038382818382063,61.14820374808964,1.081693014405035,-3.1647900213609184,-0.040316406408155814,4557890278.023364,280881.0899033962,18,23,45,56,74,72,46,19,3,0
-2.3650002666198464,19.7979435557632,-2.0072488188684545,1.3162988942049747,0.1756824132531012,4791828271.699811,243500.69516467804,23,32,57,114,239,367,550,749,751,388
2.1138321959481745,70.31908796704546,2.370285976462812,3.5225492130169105,0.033106745401085824,5606176639.173468,310796.98516032327,15,35,27,38,53,35,14,3,0,0
-1.5185262021509702,89.73014003296969,2.261550580054905,3.165218220660355,-0.1060643711455711,5664932097.465697,277912.438439606,19,22,32,36,24,12,5,1,0,0
-4.250777574581116,22.856743597309265,-1.5090301955356078,-3.551107992654913,-0.03336866877039402,5731143707.814327,316060.93319541623,18,41,56,64,89,112,77,34,1,0
-1.8216408018661854,68.77342441035624,3.783874744998121,3.6875654933671047,-0.019162897761574094,5849985492.456202,323735.148888066,19,32,48,48,51,36,8,0,0,0
-0.17855446462025615,27.25499380539314,-1.8161224925176187,2.0125342253199827,-0.16729242734836536,5944920162.336526,253911.41065607284,16,27,57,94,201,306,373,343,133,17
0.19788639729460122,7.143753454907536,1.4861881120653049,-3.7156174720550847,0.03006556953945605,6170669613.011477,328686.2049949399,20,41,51,73,109,114,96,36,1,0
2.742320533095663,57.42708677379941,3.1791290880776497,-2.043197590522763,-0.19468857611086676,6606652404.396143,267936.0518933104,19,28,49,93,142,154,175,137,37,2
3.3329418065175567,24.983815207360443,-2.8709129483189844,-1.2291242062369334,0.22038128428366388,6976872286.791937,303125.9911349345,24,31,59,110,196,283,459,476,298,65
3.164102754958366,24.08428793085742,0.28406387165848646,4.1002693582034855,0.03366545099648732,7455893881.610476,361959.0401288416,19,36,43,66,86,82,45,13,0,0
-4.395351214060038,74.00332155762531,1.6158919578273432,2.757985715461838,0.16790384360087618,7487175480.109203,266908.5496931664,18,26,42,45,62,59,42,9,1,0
4.093953895796949,20.73560215464463,3.031169839682539,-2.2193779121122947,-0.2067686248106071,7617871603.752448,286952.3531305637,22,37,64,111,182,277,300,267,120,10
3.46656516340793,17.010906865333634,1.2674422005430843,1.3200874187752012,-0.22501327565156526,7651495775.006601,318152.78529046994,20,33,67,119,184,306,381,296,116,4
-0.18356374339605797,31.66878875763137,-4.641767459104715,-3.0362459267789177,0.1755675676270112,7699067718.650589,273498.95612163196,18,28,54,102,110,168,161,89,19,0
1.4904263273180707,78.81006446493971,-3.830955080170831,-3.1357275182425925,0.171625189448954,7905174609.88339,279032.1569917926,14,21,39,50,55,43,25,3,0,0
-1.891165805643321,35.233886142356845,3.4342236987577355,3.0075421203389237,-0.18553077479170987,8186389959.3715105,278664.67373404367,19,36,49,89,140,162,151,82,20,0
-3.931942644652998,84.17516763875184,4.716468997467922,4.347887029362434,0.032558457054907564,8429252151.661501,381211.0242876173,18,16,25,20,10,6,0,0,0,0
0.5778306318980873,63.334252194819086,-2.7254899078094996,-1.7129275783023745,-0.23090006738055724,9319257503.73233,348089.30801135424,16,23,65,83,120,136,128,73,8,0
-0.5165327560593846,76.34184049080704,0.15386036380462187,4.038820673329701,0.1313796827007918,9505089601.49815,355245.15476985497,14,25,29,40,34,18,4,1,0,0
3.583579965205594,19.906169660047905,-1.132756625148713,-3.330783671133416,-0.1840171804695414,9746087468.401178,303510.1686344774,19,23,64,112,136,141,115,62,8,0
4.07897070932094,88.42624349760958,-0.9441078566183823,3.1462123819107504,-0.19818394794350347,9958041074.776268,309352.6945821038,20,22,27,35,35,25,12,0,0,0
4.25873400070294,73.87107545915609,1.5778501406047916,4.785018198304213,0.018005697737342174,10015121578.54236,423021.3367115779,14,25,33,28,16,13,0,0,0,0
-4.345190569861447,21.587850536185165,-3.0858491971254445,3.9422515587654203,-0.1457550419236231,10044950942.067377,344868.7136649209,24,40,61,78,109,130,93,31,3,0
3.277917474365669,60.88590038019623,2.284487612580145,-4.388390977066958,-0.12189160912294472,10172898763.661583,386933.16536864766,13,31,45,43,46,36,6,1,0,0
2.410517539996926,27.845781945333663,2.815450257631973,-3.608124486052829,-0.1909419978672311,10316710233.003532,319406.3699237966,23,42,53,87,99,116,92,34,3,0
-4.611212327962194,67.54686507716323,4.249373272796991,2.239573829055578,0.23158038272246806,10612048408.481133,361502.3617750486,15,22,27,50,51,63,26,3,0,0
-0.16188318252668132,60.206333784980416,-1.0596360256607165,-1.0390879349568447,-0.26569854027634854,10640744677.911263,388681.09842633567,17,33,52,89,127,171,122,74,5,0
-3.8433144968698474,24.60165095119447,-0.011830994999479039,-3.697084624366922,0.18918132387222375,11041093760.028881,329926.8103883855,17,37,53,66,87,85,47,20,0,0
-4.784581168930117,65.79710997368007,-3.484242566677336,4.356242287320066,-0.18466181519953118,13476912372.994078,381369.2053990057,20,37,40,56,71,43,6,0,0,0
-2.4858927228097616,91.40524392576896,-2.216598917872684,4.113723946178107,0.2228056902965836,13901268156.43179,365553.2315063027,15,29,33,27,14,7,0,1,0,0
1.534323734371105,33.884060967633175,-0.3222939948385779,3.245672242075692,0.2599812632414267,14033373210.013613,382579.5768480978,16,40,64,64,101,109,71,21,3,0
3.1916108290694485,29.153125351984585,0.34765444865289474,-3.389090236949004,0.2562934015275866,14325089770.307535,382438.6520708327,12,26,53,95,114,125,85,26,1,0
-4.081394302419289,60.406826673894784,-2.8678645581912665,-3.865444914258742,0.24390812404214035,14376217430.338482,371014.3194899381,16,26,47,71,52,38,12,1,0,0
-4.113573723722823,36.82212085812721,3.783884376235747,4.028008354515439,-0.24440583783431435,14576123688.822168,371543.18565897405,21,42,52,57,72,68,46,12,0,0
-3.8395064951123237,0.8980249771076192,-2.381412258610193,-3.5523277578603993,-0.24753569968074007,14697476376.656776,383454.9523939779,15,33,50,69,86,65,56,10,1,0
-2.7335040578231973,-1.2903679731164974,2.8141503363351337,-1.9608182035431545,-0.31932305772608327,15322534811.405575,446822.9451396454,19,41,57,97,148,178,187,69,11,0
4.214967553751794,57.2199428258411,3.2586467491984585,-1.1758350612035717,-0.3404288812047662,15952219143.271402,472349.07038249547,13,33,51,83,105,114,85,26,2,0
-1.8066050026096745,47.6555373696292,3.9698470951523195,-4.771280988328636,-0.22224707007924493,16119196221.970703,422749.4543412931,18,30,33,40,44,25,4,1,0,0
-3.3956236267684647,94.24655914114649,-2.328486334755575,-3.750785137431909,0.2808103424975581,16788314169.525106,410872.84921127826,24,18,27,26,12,10,1,0,0,0
2.3994241627065502,92.17510857874298,1.7253968890609892,-2.4422489624095,0.3145484816163693,17093312906.903368,467940.9436264887,19,22,30,27,21,5,0,0,0,0
-2.2915676230727455,52.77046578176546,3.207245055239472,-2.6494347369721947,0.31184645086547835,17717555782.894318,471101.3014218044,14,33,49,54,67,36,26,4,0,0
3.8318995943278686,1.1935285246518141,0.8950491298659893,-3.3244264837184434,0.30541471157612765,18162356307.2798,450227.0835850436,29,25,40,90,108,107,75,13,2,0
-0.8218025333871717,8.96891214666869,4.675654240093447,-3.5412922004183733,0.29424536635320386,18900744420.876366,455401.6351056122,16,35,47,82,83,56,35,10,0,0
-2.0321427227907316,11.764742552827705,2.445055519572561,0.7312813451147937,-0.37740470604165566,19523629451.844315,531378.7077398736,20,45,66,98,141,181,151,57,5,0
-3.952621618338515,92.87593837396113,-2.359300351232715,-2.7362768614005417,0.3512220012441052,20069712494.527008,498780.5696649757,15,27,25,24,22,7,1,0,0,0
2.5095115983757417,59.984033860367575,4.646468118638811,3.8709793759886786,0.3026848304221188,20709025399.031994,470159.9571469396,22,25,35,47,42,16,5,0,0,0
2.1849238103143716,9.81110382800017,-2.594073129798675,2.684460098522763,-0.35521073524139624,21724839637.167267,528531.6528015647,19,37,54,84,102,100,59,10,0,0
-2.200895549843872,7.307401535569673,2.4357544573975645,2.8050064245916406,0.35465920810841656,21868601629.64112,526764.3613152297,19,34,62,87,97,109,55,9,1,0
0.9116478621469497,55.085656045027534,3.2833054790931477,-1.0097778390195886,-0.4039438296232447,22281694897.509167,563920.0871267304,6,28,51,79,96,88,71,13,2,0
-3.162659915745208,64.30758284777919,-3.816912216917453,-2.029704583194781,0.3986866362851229,23006849279.8084,556964.1880728129,24,33,58,65,66,54,16,6,0,0
4.236662902071897,56.626445829895935,-0.6711691251478111,4.839434690744602,-0.3071656746014142,23610886533.914364,476045.7628162856,13,34,36,37,33,22,2,0,0,0
-1.4586297696930561,16.100787009637244,1.411738679255893,3.0852443270690593,0.37264217974961245,24142569601.194183,547645.9193022607,11,38,49,90,84,69,32,6,0,0
3.1041918620218407,-4.653633569718458,0.7000345340687586,-4.437113591616462,0.33261668304580905,24312872457.879246,497444.620844654,12,22,36,53,59,37,14,2,0,0
2.9931436515825443,14.417931468382733,-1.2353455593474605,-3.191901144396244,-0.37428676003239225,24566841190.478207,549104.5151384707,28,37,43,63,90,72,34,4,0,0
3.014396148455237,91.63171241077644,-2.1632578395813695,1.7575761234008382,0.4154921812933443,25021352831.454002,591494.9455827167,9,20,27,26,8,5,1,0,0,0
-3.721651393658927,84.46869006378977,1.701208403038903,3.985732413042207,0.35386827704157664,25076727948.185745,527354.6934094662,14,23,26,16,10,4,1,0,0,0
-2.178169822405037,7.676049028647263,-3.446039230688396,-1.2850513787858056,-0.4280021265137606,27872385500.707573,638441.2471501088,21,35,66,64,88,69,26,4,0,0
2.794058814065261,68.2861577868263,-1.4702264086985362,3.500341220916761,0.4038520866268849,27874463300.502357,579523.5293166904,20,29,40,36,32,17,2,0,0,0
1.3426703825379889,48.91676946016998,4.0270234285335,-0.30712633693415814,0.43201219442536676,27954033798.919968,649152.7510208535,20,39,48,47,50,37,5,0,0,0
3.0696630183055067,35.70550969480532,1.7945091781334845,-1.9204476946887805,0.428319846087609,28179767506.796764,630459.7883654693,21,30,39,55,68,62,23,4,0,0
0.7196589134408393,58.401495802730544,2.9655741718172868,-0.002150258782193326,0.43836002359397597,28312828877.296204,652623.6266952715,19,31,36,52,36,17,1,0,0,0
4.274733149183561,70.16707696600977,2.228880175510488,2.3927295936613415,-0.43654648179860533,28466329693.68626,617312.0093367206,18,30,38,37,36,21,6,0,0,0
